id,geosamples_id,photoname,caption
34,21,SP27_CSV_001_PPL,Ghost filled with megacrystalline quartz grains.
35,22,SP28_ASP_001_PPL,Detail of an unidentifiable fossil ghost replaced by chalcedony and macrocrystalline quartz. The ghost is also characterized by porosity and oxide patina/grain concentrations.
36,22,SP28_ASP_003_PPL,"Detail of several unidentifiable fossils (possibly echinoid spines). These are filled with oxides or opaque minerals, and have an outer layer of chalcedony/quartz."
37,22,SP28_ASP_004_PPL,Detail of a grain of muscovite/mica within the thin section. There are several unidentifiable fossils and concentrations of oxide patina/grains.
38,22,SP28_ASP_005_PPL,"General view of the chert, with the presence of several echinoid spine-like fossils and a muscovite/mica grain."
39,22,SP28_ASP_006_PPL,"General view of a different area of the chert, characterized by concentrations of opaques."
40,22,SP28_ASP_007_PPL,Detail of a porosity within the chert and a muscovite/mica grain.
41,26,SP32_FZF_001_PPL,Dolomite rhomboid crystals and circular fossils which are possibly radiolarians or spheres.
42,26,SP32_FZF_002_PPL,"Peloids, dolomite and possible sphere."
43,27,SP33_FZF_001_PPL,"General view of the chert, with the presence of dolomite minerals and unidentifiable fossils."
44,27,SP33_FZF_002_PPL,Darker areas within the chert which create a pattern. May be a sedimentary structure.
45,27,SP33_FZF_003_PPL,"Fracture in the chert, filled with oxide patina."
46,27,SP33_FZF_004_PPL,"Fracture in the chert, filled with oxide patina."
47,27,SP33_FZF_005_PPL,Detail of an unidentifiable fossil filled with chalcedony and dolomite grains.
48,28,SP34_PdA_a_001_PPL,Bivalve shell.
49,28,SP34_PdA_a_002_PPL,Bivalve shell.
50,28,SP34_PdA_a_003_PPL,Detail of bivalve shell.
51,28,SP34_PdA_a_004_PPL,Echinoid spine with somewhat preserved structure.
52,29,SP34_PdA_b_001_PPL,General view of the chert. Several oxide grains and oxide patina are present. Bioclasts are very frequent but poorly preserved.
53,29,SP34_PdA_b_002_PPL,"Detail of the fossil ghosts. There is a high frequency of long fossils which may be longitudinal sections of echinoderm spines, although this attribution is uncertain."
54,29,SP34_PdA_b_003_PPL,Detail of unidentifiable fossil ghosts replaced by chalcedony.
55,29,SP34_PdA_b_004_PPL,Detail of unidentifiable fossil ghosts replaced by fibrous chalcedony.
56,29,SP34_PdA_b_005_PPL,Detail of unidentifiable fossil ghosts. A mica/muscovite grain might be present in the sample.
57,29,SP34_PdA_b_006_PPL,Contact between the chert and the parent rock. Several dolomite crystals are present in the chert close to the contact. Large macrocrystalline quartz grains are also present in the parent rock.
58,29,SP34_PdA_b_007_PPL,Detail of the dolomite parent rock.
59,31,SP36_PtA_001_PPL,Chert filled with very frequent fossil ghosts replaced by chalcedony. Calcispheres seem to be very frequent and there are some concentrations of oxide patina.
60,31,SP36_PtA_002_PPL,Detail of several unidentifiable fossils and poorly preserved calcispheres. Long fossils are very common.
61,31,SP36_PtA_003_PPL,"General view of the edge of the chert. A thin alteration surface with a concentration of oxides is visible, possibly due to post-depositional alterations. An unidentifiable fossil or porosity filled with several generations of chalcedony is also visible in the sample."
62,31,SP36_PtA_004_PPL,Detail of the calcispheres replaced by chalcedony.
63,31,SP36_PtA_005_PPL,Detail of the altered surface and a concentration of oxide patina.
64,31,SP36_PtA_006_PPL,Detail of the calcispheres replaced by chalcedony.
65,31,SP36_PtA_007_PPL,"Detail of a concentration of opaque minerals, oxide grains and oxide patina. Fossils seem to be worse preserved in this area."
66,31,SP36_PtA_008_PPL,Detail of the altered surface of the chert with small concentrations of oxide patina.
67,31,SP36_PtA_009_PPL,Concentration of porosity in the chert. Calcispheres are less visible in this area.
68,33,SP39_AND_001_PPL,"General view of ghosts, iron oxides and porosity."
69,33,SP39_AND_002_PPL,Oncolith replaced by siliceous material.
70,33,SP39_AND_003_PPL,Sponge spicules.
71,34,SP40_FER_001_PPL,View of limit between chert and cortex.
72,34,SP40_FER_002_PPL,View of light chert with dark areas.
73,39,SP50_CdC_001_PPL,"Detail of a fossil (possibly an Ostracod), replaced by two generations of chalcedony (1st generation in the outer edges and 2nd generation replacing the inside)."
74,39,SP50_CdC_002_PPL,General view of the thin section.
75,39,SP50_CdC_003_PPL,View of an unidentifiable fossil. The different replacement by chalcedony may be indicative of the fossil's structure.
76,39,SP50_CdC_004_PPL,Megacristalline quartz filling a porosity or fracture.
77,39,SP50_CdC_005_PPL,Megacristalline quartz filling a porosity or fracture.
78,39,SP50_CdC_006_PPL,"View of a possible burrow, lined by a 1st generation of MC quartz and filled with different sediments."
79,39,SP50_CdC_007_PPL,"View of the parent rock. A fossil similar to a Tentaculite can be seen at the top, and all other fossils are unidentifiable due to poor preservation."
80,39,SP50_CdC_008_PPL,View of the parent rock. A Echinoid spine (longitudinal section) can be identified midst very frequent fossil ghosts.
81,39,SP50_CdC_009_PPL,"Contact between the parent rock and the chert. Noticeable differences are in the color of the sediment, but also the different degrees of fossil density and preservation."
82,40,SP52_CdC_001_PPL,General view of thin section (mudstone texture).
83,40,SP52_CdC_002_PPL,General view of zonation (packstone texture) with fossils and concentration of oxides.
84,40,SP52_CdC_003_PPL,View of packstone zonation with a burrow-like structure filled with mudstone structure chert.
85,40,SP52_CdC_004_PPL,View of packstone zonation with a burrow-like structure filled with mudstone structure chert.
86,40,SP52_CdC_005_PPL,View of fracture/porosity filled with megacrystalline granular quartz.
87,40,SP52_CdC_006_PPL,Dolomite crystals within the microcrystalline quartz and oxide grains.
88,40,SP52_CdC_007_PPL,"Detailed view of the wackestone texture. Oxide grains and patina are very frequent, intercalated with fossils (possibly sponge spicules)."
89,40,SP52_CdC_008_PPL,Detailed view of a fossil (possibly radiolarian) replaced by two generations of quartz: 1) outer generation of microcrystalline quartz or chalcedony; 2) interior filled with megacrystalline quartz.
90,40,SP52_CdC_009_PPL,"General view of the sample with the presence of oxide grains and patina, and circular fossils replaced by fibrous chalcedony."
91,41,SP53_Gui_001_PPL,"Detail of a poorly preserved Echinoderm spine (cross section), replaced by chalcedony."
92,41,SP53_Gui_002_PPL,General view of the thin section with unidentifiable fossils replaced by chalcedony.
93,41,SP53_Gui_003_PPL,General view of the thin section with unidentifiable fossils replaced by chalcedony.
94,41,SP53_Gui_004_PPL,General view of several unidentifiable fossils and concentration of oxides.
95,41,SP53_Gui_005_PPL,Detailed view of a possible sedimentary structure within the chert.
96,42,SP54_Gui_001_PPL,"General view of the thin section. Several fossil ghosts can be seen. Despite the poor preservation, it may be possible to identify a few fossils based on the size and morphology: 1) calcispheres or recrystallized radiolarians; 2) monaxon spicules pointed at one end."
97,42,SP54_Gui_002_PPL,"General view of the thin section, with abundance of fossil ghosts and possible calcispheres."
98,42,SP54_Gui_003_PPL,"View of porosity, unidentifiable fossils and oxide concentrations."
99,42,SP54_Gui_004_PPL,"View of unidentifiable fossils (ghosts), replaced by chalcedony and macrocrystalline quartz. A possible Echinoderm spine (longitudinal section) is present (black arrow). There are also visible concentrations of oxide patina."
100,42,SP54_Gui_005_PPL,"General view of the thin section, with unidentifiable fossils, oxides and porosity."
101,43,SP55_Cal_001_PPL,
102,43,SP55_Cal_002_PPL,"Detailed view of microcrystalline quartz and porosity, surrounded by concentrations of oxide patina. Fossils are unidentifiable and replaced by chalcedony or quartz."
103,43,SP55_Cal_003_PPL,"Detailed view of microcrystalline quartz and porosity, surrounded by concentrations of oxide patina. Fossils are unidentifiable and replaced by chalcedony or quartz."
104,43,SP55_Cal_004_PPL,"View of the darker areas in the chert, which are spatially restricted and small. Oxide grains are also present."
105,43,SP55_Cal_005_PPL,"Detail of a long, unidentifiable fossil replaced by chalcedony. Circular ghost fossils are also present."
106,43,SP55_Cal_006_PPL,"Concentration of circular and oval fossil ghosts, replaced by chalcedony. Larger oval ghosts can only be seen in plane polarized light."
107,44,SP56_Jor_001_PPL,"Detail of a dolomite crystal, surrounded by oxide patina. Several fossil ghosts replaced by chalcedony can be seen."
108,44,SP56_Jor_002_PPL,Detail of a long fossil ghost replaced by chalcedony and an oxide patina concentration.
109,44,SP56_Jor_003_PPL,General view of the calcispheres in an area of the chert characterized by a large concentration of oxide patina and opaques.
110,44,SP56_Jor_004_PPL,"General view of a fracture within the chert, filled with oxides."
111,46,SP58_Jor_001_PPL,General view of the thin section. A large bivalve shell fragment is visible at the top.
112,46,SP58_Jor_002_PPL,"General view of the thin section. Many fossils replaced by chalcedony are visible. At the bottom, the dark fossil may be a fragment of a larger foraminifer."
113,46,SP58_Jor_003_PPL,Contact between the parent rock with a packstone texture and the chert.
114,46,SP58_Jor_004_PPL,Detail of unidentifiable fossils. They are composed by several generations of quartz: 1) 1st generation at the edge; 2) 2nd generation filling the inside. A large quartz crystal can be seen inside one of the fossils.
115,46,SP58_Jor_005_PPL,"Detail of two fossils (unidentifiable above, possible foraminifer below). Both show different generations of replacement by chalcedony."
116,46,SP58_Jor_006_PPL,Detail of two unidentifiable fossils replaced by chalcedony.
117,46,SP58_Jor_007_PPL,"Parent rock packstone texture. A large bivalve shell fragment replaced by chalcedony is represented, cut by a fracture filled with quartz."
118,46,SP58_Jor_008_PPL,Detail of an unidentifiable fossil.
119,46,SP58_Jor_009_PPL,"Detail of several unidentifiable fossils, replaced by several generations of chalcedony. The fossil at the bottom right may be a poorly preserved Calpionellid."
120,47,SP59_Jor_001_PPL,General view of the sample with several ghost fossils and concentration of oxide patina. A monaxone megasclere spicule can be seen at the center.
121,47,SP59_Jor_002_PPL,"Detail of a fossil ghost replaced by a 1st generation of chalcedony on the outer edges, a concentration of oxides and a 2nd generation of chalcedony in the interior. The fossil may be an ostracod."
122,47,SP59_Jor_003_PPL,"General view of the contact between chert (right) and dolomite (left). The fossils on the chert are all unidentifiable ghosts, although there is a striation which might belong to an echinoderm."
123,47,SP59_Jor_004_PPL,"General view of several fossils ghosts and a fracture in the chert. Although most are unidentifiable, there may be a sponge spicule, a possible ostracod and a possible gastropod."
124,47,SP59_Jor_005_PPL,Detail of an unidentifiable fossil with a 1st generation of chalcedony (outer edges) and a second generation of quartz with possibly muscovite.
125,48,SP61_Per_001_PPL,General view of the contact between the parent rock and the chert. Several unidentifiable fossils and calcispheres can be seen.
126,48,SP61_Per_002_PPL,General view of the chert with opaque minerals and unidentifiable fossil ghosts.
127,48,SP61_Per_003_PPL,Fracture within the chert possibly filled with muscovite or shale minerals. The presence of fossils is less noticeable.
128,48,SP61_Per_004_PPL,Detail of the chert with fractures or fossils filled with dolomite grains (?).
129,48,SP61_Per_005_PPL,Detail of a possible fragment of a algae (in the parent rock).
130,48,SP61_Per_006_PPL,Detail of a possible Tetraxon megasclere spicule and other spicules (in the parent rock).
131,48,SP61_Per_007_PPL,"General view of several fossils preserved in the parent rock: monaxon spicules, triaxone spicules, echinoids, a gastropod and several unidentifiable fossils."
132,48,SP61_Per_008_PPL,"General view of the packstone texture of the parent rock, filled with muscovite and microcrystalline quartz."
133,48,SP61_Per_009_PPL,Detail of several unidentifiable fossils (ghosts) in the parent rock. Some of the unidentifiable fossils may be bivalve shells.
134,48,SP61_Per_010_PPL,Detail of an Echinoid spine (longitudinal section) preserved in the parent rock and replaced with microcrystalline quartz.
135,7,RT82_001_XPL,General view of the chert with unidentifiable fossils. There is a visible burrow-like structure.
136,7,RT82_002_XPL,"Contact between two areas of the chert, characterized by a different color, and an unidentified fossil in the center."
137,7,RT82_003_XPL,"Detail of an unidentifiable fossil ghost, replaced by two generations of chalcedony and opaque minerals."
138,1,SP6_CSV_001_XPL,General view of oxides and a possible Echinoderm spine.
139,1,SP6_CSV_002_XPL,Ghosts with quartz filling.
140,1,SP6_CSV_003_XPL,Limit between chert and dolomitic limestone (cortex).
141,1,SP6_CSV_004_XPL,Possible Echinoderm spine.
142,1,SP6_CSV_005_XPL,Detail of rhomboid dolomite crystals close to the edge of the sample.
143,2,SP7_CSV_001_XPL,Echinoid spine.
144,2,SP7_CSV_002_XPL,Concentration of oxides.
145,2,SP7_CSV_003_XPL,Ghosts
146,2,SP7_CSV_004_XPL,Cortex composed of dolomite/calcite.
147,4,SP9_PdA_001_XPL,View of different zones in the chert.
148,4,SP9_PdA_002_XPL,Unknown fossil.
149,5,SP10_PdA_001_XPL,Burrow
150,5,SP10_PdA_002_XPL,Detail of burrow and dolomite crystals in the edges.
151,11,SP14_PBX_001_XPL,Fossil filled with fibrous chalcedony.
152,11,SP14_PBX_002_XPL,General view of the packstone texture.
153,12,SP15_PBX_001_XPL,"An unidentifiable fossil filled with two generations of quartz: the 1st generation is the outer, microcrystalline quartz “shell”, and the 2nd generation is the macrocrystalline quartz grain within the fossil."
154,12,SP15_PBX_002_XPL,
155,12,SP15_PBX_003_XPL,Diffuse boundary area between the dolomite and chert.
156,12,SP15_PBX_004_XPL,"Poorly preserved unidentifiable fossil. The fossil is composed of two generations of filling: 1st generation is an outer layer of quartz, and the 2nd generation is the fossil filling by dolomite rhomboid crystals. The porosity within the fossil seems to represent a 3rd generation, and the porosity is surrounded by an oxide patina."
157,12,SP15_PBX_005_XPL,"View of poorly preserved fossils and a fracture. The fossils in the photo are mono typical, with spherical shapes and similar sizes."
158,12,SP15_PBX_006_XPL,"View of a long fossil where two generations of quartz can be identified: a 1st generation at the edges of the fossil, possibly preserving some structure, and a 2nd generation of macrocrystalline quartz within. In the photo there are also circular fossils filled with fibrous chalcedony."
159,15,SP18_PBX_001_XPL,Iron concentrations and peloids.
160,18,SP21_BLS_001_XPL,"View of fossils, structure and flaw filled with oxides."
161,19,SP23_BLN_001_XPL,Fossil or porosity filled with three generations of quartz and chalcedony.
162,19,SP23_BLN_002_XPL,Poorly preserved fossil with quartz and oxide fill.
163,19,SP23_BLN_003_XPL,General view of thin section.
164,20,SP24_CSV_001_XPL,"Unidentified fossil replaced by granular megacrystalline quartz, with an outer layer of microcrystalline quartz. Unidentified blue mineral."
165,20,SP24_CSV_002_XPL,General view of the thin section with representation of wackestone texture and massive microstructure.
166,20,SP24_CSV_003_XPL,"Different textures in the chert, probably due to differences in the cortex area or existence of dolomite."
167,20,SP24_CSV_004_XPL,"Detail of a fossil, possibly an echinoid spine."
168,21,SP27_CSV_001_XPL,Ghost filled with megacrystalline quartz grains.
169,22,SP28_ASP_001_XPL,Detail of an unidentifiable fossil ghost replaced by chalcedony and macrocrystalline quartz. The ghost is also characterized by porosity and oxide patina/grain concentrations.
170,22,SP28_ASP_003_XPL,"Detail of several unidentifiable fossils (possibly echinoid spines). These are filled with oxides or opaque minerals, and have an outer layer of chalcedony/quartz."
171,22,SP28_ASP_004_XPL,Detail of a grain of muscovite/mica within the thin section. There are several unidentifiable fossils and concentrations of oxide patina/grains.
172,22,SP28_ASP_005_XPL,"General view of the chert, with the presence of several echinoid spine-like fossils and a muscovite/mica grain."
173,22,SP28_ASP_006_XPL,"General view of a different area of the chert, characterized by concentrations of opaques."
174,22,SP28_ASP_007_XPL,Detail of a porosity within the chert and a muscovite/mica grain.
175,26,SP32_FZF_001_XPL,Dolomite rhomboid crystals and circular fossils which are possibly radiolarians or spheres.
176,26,SP32_FZF_002_XPL,"Peloids, dolomite and possible sphere."
177,27,SP33_FZF_001_XPL,"General view of the chert, with the presence of dolomite minerals and unidentifiable fossils."
178,27,SP33_FZF_002_XPL,Darker areas within the chert which create a pattern. May be a sedimentary structure.
179,27,SP33_FZF_003_XPL,"Fracture in the chert, filled with oxide patina."
180,27,SP33_FZF_004_XPL,"Fracture in the chert, filled with oxide patina."
181,27,SP33_FZF_005_XPL,Detail of an unidentifiable fossil filled with chalcedony and dolomite grains.
182,28,SP34_PdA_a_001_XPL,Bivalve shell.
183,28,SP34_PdA_a_002_XPL,Bivalve shell.
184,28,SP34_PdA_a_003_XPL,Detail of bivalve shell.
185,28,SP34_PdA_a_004_XPL,Echinoid spine with somewhat preserved structure.
186,29,SP34_PdA_b_001_XPL,General view of the chert. Several oxide grains and oxide patina are present. Bioclasts are very frequent but poorly preserved.
187,29,SP34_PdA_b_002_XPL,"Detail of the fossil ghosts. There is a high frequency of long fossils which may be longitudinal sections of echinoderm spines, although this attribution is uncertain."
188,29,SP34_PdA_b_003_XPL,Detail of unidentifiable fossil ghosts replaced by chalcedony.
189,29,SP34_PdA_b_004_XPL,Detail of unidentifiable fossil ghosts replaced by fibrous chalcedony.
190,29,SP34_PdA_b_005_XPL,Detail of unidentifiable fossil ghosts. A mica/muscovite grain might be present in the sample.
191,29,SP34_PdA_b_006_XPL,Contact between the chert and the parent rock. Several dolomite crystals are present in the chert close to the contact. Large macrocrystalline quartz grains are also present in the parent rock.
192,29,SP34_PdA_b_007_XPL,Detail of the dolomite parent rock.
193,31,SP36_PtA_001_XPL,Chert filled with very frequent fossil ghosts replaced by chalcedony. Calcispheres seem to be very frequent and there are some concentrations of oxide patina.
194,31,SP36_PtA_002_XPL,Detail of several unidentifiable fossils and poorly preserved calcispheres. Long fossils are very common.
195,31,SP36_PtA_003_XPL,"General view of the edge of the chert. A thin alteration surface with a concentration of oxides is visible, possibly due to post-depositional alterations. An unidentifiable fossil or porosity filled with several generations of chalcedony is also visible in the sample."
196,31,SP36_PtA_004_XPL,Detail of the calcispheres replaced by chalcedony.
197,31,SP36_PtA_005_XPL,Detail of the altered surface and a concentration of oxide patina.
198,31,SP36_PtA_006_XPL,Detail of the calcispheres replaced by chalcedony.
199,31,SP36_PtA_007_XPL,"Detail of a concentration of opaque minerals, oxide grains and oxide patina. Fossils seem to be worse preserved in this area."
200,31,SP36_PtA_008_XPL,Detail of the altered surface of the chert with small concentrations of oxide patina.
201,31,SP36_PtA_009_XPL,Concentration of porosity in the chert. Calcispheres are less visible in this area.
202,33,SP39_AND_001_XPL,"General view of ghosts, iron oxides and porosity."
203,33,SP39_AND_002_XPL,Oncolith replaced by siliceous material.
204,33,SP39_AND_003_XPL,Sponge spicules.
205,34,SP40_FER_001_XPL,View of limit between chert and cortex.
206,34,SP40_FER_002_XPL,View of light chert with dark areas.
207,39,SP50_CdC_001_XPL,"Detail of a fossil (possibly an Ostracod), replaced by two generations of chalcedony (1st generation in the outer edges and 2nd generation replacing the inside)."
208,39,SP50_CdC_002_XPL,General view of the thin section.
209,39,SP50_CdC_003_XPL,View of an unidentifiable fossil. The different replacement by chalcedony may be indicative of the fossil's structure.
210,39,SP50_CdC_004_XPL,Megacristalline quartz filling a porosity or fracture.
211,39,SP50_CdC_005_XPL,Megacristalline quartz filling a porosity or fracture.
212,39,SP50_CdC_006_XPL,"View of a possible burrow, lined by a 1st generation of MC quartz and filled with different sediments."
213,39,SP50_CdC_007_XPL,"View of the parent rock. A fossil similar to a Tentaculite can be seen at the top, and all other fossils are unidentifiable due to poor preservation."
214,39,SP50_CdC_008_XPL,View of the parent rock. A Echinoid spine (longitudinal section) can be identified midst very frequent fossil ghosts.
215,39,SP50_CdC_009_XPL,"Contact between the parent rock and the chert. Noticeable differences are in the color of the sediment, but also the different degrees of fossil density and preservation."
216,40,SP52_CdC_001_XPL,General view of thin section (mudstone texture).
217,40,SP52_CdC_002_XPL,General view of zonation (packstone texture) with fossils and concentration of oxides.
218,40,SP52_CdC_003_XPL,View of packstone zonation with a burrow-like structure filled with mudstone structure chert.
219,40,SP52_CdC_004_XPL,View of packstone zonation with a burrow-like structure filled with mudstone structure chert.
220,40,SP52_CdC_005_XPL,View of fracture/porosity filled with megacrystalline granular quartz.
221,40,SP52_CdC_006_XPL,Dolomite crystals within the microcrystalline quartz and oxide grains.
222,40,SP52_CdC_007_XPL,"Detailed view of the wackestone texture. Oxide grains and patina are very frequent, intercalated with fossils (possibly sponge spicules)."
223,40,SP52_CdC_008_XPL,Detailed view of a fossil (possibly radiolarian) replaced by two generations of quartz: 1) outer generation of microcrystalline quartz or chalcedony; 2) interior filled with megacrystalline quartz.
224,40,SP52_CdC_009_XPL,"General view of the sample with the presence of oxide grains and patina, and circular fossils replaced by fibrous chalcedony."
225,41,SP53_Gui_001_XPL,"Detail of a poorly preserved Echinoderm spine (cross section), replaced by chalcedony."
226,41,SP53_Gui_002_XPL,General view of the thin section with unidentifiable fossils replaced by chalcedony.
227,41,SP53_Gui_003_XPL,General view of the thin section with unidentifiable fossils replaced by chalcedony.
228,41,SP53_Gui_004_XPL,General view of several unidentifiable fossils and concentration of oxides.
229,41,SP53_Gui_005_XPL,Detailed view of a possible sedimentary structure within the chert.
230,42,SP54_Gui_001_XPL,"General view of the thin section. Several fossil ghosts can be seen. Despite the poor preservation, it may be possible to identify a few fossils based on the size and morphology: 1) calcispheres or recrystallized radiolarians; 2) monaxon spicules pointed at one end."
231,42,SP54_Gui_002_XPL,"General view of the thin section, with abundance of fossil ghosts and possible calcispheres."
232,42,SP54_Gui_003_XPL,"View of porosity, unidentifiable fossils and oxide concentrations."
233,42,SP54_Gui_004_XPL,"View of unidentifiable fossils (ghosts), replaced by chalcedony and macrocrystalline quartz. A possible Echinoderm spine (longitudinal section) is present (black arrow). There are also visible concentrations of oxide patina."
234,42,SP54_Gui_005_XPL,"General view of the thin section, with unidentifiable fossils, oxides and porosity."
235,43,SP55_Cal_001_XPL,
236,43,SP55_Cal_002_XPL,"Detailed view of microcrystalline quartz and porosity, surrounded by concentrations of oxide patina. Fossils are unidentifiable and replaced by chalcedony or quartz."
237,43,SP55_Cal_003_XPL,"Detailed view of microcrystalline quartz and porosity, surrounded by concentrations of oxide patina. Fossils are unidentifiable and replaced by chalcedony or quartz."
238,43,SP55_Cal_004_XPL,"View of the darker areas in the chert, which are spatially restricted and small. Oxide grains are also present."
239,43,SP55_Cal_005_XPL,"Detail of a long, unidentifiable fossil replaced by chalcedony. Circular ghost fossils are also present."
240,43,SP55_Cal_006_XPL,"Concentration of circular and oval fossil ghosts, replaced by chalcedony. Larger oval ghosts can only be seen in plane polarized light."
241,44,SP56_Jor_001_XPL,"Detail of a dolomite crystal, surrounded by oxide patina. Several fossil ghosts replaced by chalcedony can be seen."
242,44,SP56_Jor_002_XPL,Detail of a long fossil ghost replaced by chalcedony and an oxide patina concentration.
243,44,SP56_Jor_003_XPL,General view of the calcispheres in an area of the chert characterized by a large concentration of oxide patina and opaques.
244,44,SP56_Jor_004_XPL,"General view of a fracture within the chert, filled with oxides."
245,46,SP58_Jor_001_XPL,General view of the thin section. A large bivalve shell fragment is visible at the top.
246,46,SP58_Jor_002_XPL,"General view of the thin section. Many fossils replaced by chalcedony are visible. At the bottom, the dark fossil may be a fragment of a larger foraminifer."
247,46,SP58_Jor_003_XPL,Contact between the parent rock with a packstone texture and the chert.
248,46,SP58_Jor_004_XPL,Detail of unidentifiable fossils. They are composed by several generations of quartz: 1) 1st generation at the edge; 2) 2nd generation filling the inside. A large quartz crystal can be seen inside one of the fossils.
249,46,SP58_Jor_005_XPL,"Detail of two fossils (unidentifiable above, possible foraminifer below). Both show different generations of replacement by chalcedony."
250,46,SP58_Jor_006_XPL,Detail of two unidentifiable fossils replaced by chalcedony.
251,46,SP58_Jor_007_XPL,"Parent rock packstone texture. A large bivalve shell fragment replaced by chalcedony is represented, cut by a fracture filled with quartz."
252,46,SP58_Jor_008_XPL,Detail of an unidentifiable fossil.
253,46,SP58_Jor_009_XPL,"Detail of several unidentifiable fossils, replaced by several generations of chalcedony. The fossil at the bottom right may be a poorly preserved Calpionellid."
254,47,SP59_Jor_001_XPL,General view of the sample with several ghost fossils and concentration of oxide patina. A monaxone megasclere spicule can be seen at the center.
255,47,SP59_Jor_002_XPL,"Detail of a fossil ghost replaced by a 1st generation of chalcedony on the outer edges, a concentration of oxides and a 2nd generation of chalcedony in the interior. The fossil may be an ostracod."
256,47,SP59_Jor_003_XPL,"General view of the contact between chert (right) and dolomite (left). The fossils on the chert are all unidentifiable ghosts, although there is a striation which might belong to an echinoderm."
257,47,SP59_Jor_004_XPL,"General view of several fossils ghosts and a fracture in the chert. Although most are unidentifiable, there may be a sponge spicule, a possible ostracod and a possible gastropod."
258,47,SP59_Jor_005_XPL,Detail of an unidentifiable fossil with a 1st generation of chalcedony (outer edges) and a second generation of quartz with possibly muscovite.
259,48,SP61_Per_001_XPL,General view of the contact between the parent rock and the chert. Several unidentifiable fossils and calcispheres can be seen.
260,48,SP61_Per_002_XPL,General view of the chert with opaque minerals and unidentifiable fossil ghosts.
261,48,SP61_Per_003_XPL,Fracture within the chert possibly filled with muscovite or shale minerals. The presence of fossils is less noticeable.
262,48,SP61_Per_004_XPL,Detail of the chert with fractures or fossils filled with dolomite grains (?).
263,48,SP61_Per_005_XPL,Detail of a possible fragment of a algae (in the parent rock).
264,48,SP61_Per_006_XPL,Detail of a possible Tetraxon megasclere spicule and other spicules (in the parent rock).
265,48,SP61_Per_007_XPL,"General view of several fossils preserved in the parent rock: monaxon spicules, triaxone spicules, echinoids, a gastropod and several unidentifiable fossils."
266,48,SP61_Per_008_XPL,"General view of the packstone texture of the parent rock, filled with muscovite and microcrystalline quartz."
267,48,SP61_Per_009_XPL,Detail of several unidentifiable fossils (ghosts) in the parent rock. Some of the unidentifiable fossils may be bivalve shells.
