id,geosamples_id,name,description,state
48,48,SP61_PER,"The chert nodules can be found in small boulders, displaced from their original locations, and pilled in an old rural wall. The nodules within the boulders are homogenous and punctual, with irregular shapes and with widths from 2 to 5cm.",Secondary
49,49,SP62_OLV_a,"The chert samples can be found in a dry stream. They seem to be the result of slope deposits from higher areas which are covered by dense vegetation and cannot be accessed. The cherts are abundant and variable, extremely patinated on the outside. The cherts are fractured and can be small, with the largest identified chunk being 10cm wide.",Secondary
50,50,SP62_OLV_b,"The chert samples can be found in a dry stream. They seem to be the result of slope deposits from higher areas which are covered by dense vegetation and cannot be accessed. The cherts are abundant and variable, extremely patinated on the outside. The cherts are fractured and can be small, with the largest identified chunk being 10cm wide.",Secondary
51,51,SP63_OLV,"The chert nodules can be found in large outcrops by a road, in primary state. Some nodules are altered and brittle depending on the degree of exposure. The outcrop is in dismantlement. The nodules are punctual, oval, and with widths ranging from 2 to 15cm. ",Primary
52,52,SP64_OLV,-,Isolated
53,53,SP65_MALH,"The nodules can be found in parent rock chunks, displaced from the main parent rock but near them. The outcrop is in dismantlement, within unoccupied and uncultivated terrains. The nodules are punctual, irregular and around 5cm.",Primary
54,54,SP66_MALH,"The nodules can be found in parent rock chunks, displaced from the main parent rock but near them. The outcrop is in dismantlement, within unoccupied and uncultivated terrains. The nodules are punctual, irregular and around 5cm.",Primary
55,55,SP67_DESCAM,"The nodules can be found in blocks of parent rock, scattered in a terrain next to a cultivation field, on a slope. The outcrop has been destroyed and the original location of the chert nodules is difficult to ascertain. The nodules are oval to irregular, between 5cm to 10cm.",Secondary
56,56,SP68_PEDR,"The chert nodules are embedded in lost chunks of parent rock in a terrain for rock exploration. Because of this, the frequency of chert nodules is rare. The visibility is reasonable, the accessibility is easy, and the outcrop preservation is bad.",Secondary
57,57,SP69_MAR,,Secondary
